japaneseChar	simpChineseChar	tradChineseChar	pinyin	kunyomi	onyomi	englishMeaning
丂				さまたげられる	コウ	obstruction of breath (qi) as it seeks release; variant of other characters
丄				うえ,かみ	ショウ	above
丅				しも	カ	under, underneath, below; down; inferior; bring down; used to transliterate the Latin letter 'T'
丌				その,それ,だい	キ,ギ	table
丏				みえぬ	ベン,メン	parapet; invisible
丒				うし	チュウ	the period from 1 to 3 a.m.; 2nd character of the 'branches'
丗				よ	セイ,セ,ジュウ	thirty, thirtieth
㐂				よろこぶ	キ	(non-standard Japanese variant of 喜), to like, love, enjoy; a joyful thing
丣				とり	ユウ	(ancient form of 酉) tenth earthly branch
丨				すすむ,しりぞく	コン,シ,ジョ,ニョ	(same as 〡 HANGZHOU NUMERAL ONE) number one; line
丩				まつわる	キュウ,ク,キョウ,ギョウ	to join or connect the vine
丮				もつ,とる	ケキ,キャク	catch
丯				さんらんする	カイ	dense
丱				あげまき,あらがね	カン,コウ,ケン,ギョウ	child's hairstyle bound in two tufts; ore
丵				くさのむらがり	サク,ザク	thick (grass)
丶				てん,ちょぼ,しるし	チュ	dot; Kangxi radical 3
丼				どんぶり,どん	セイ,タン,ショウ,トン	bowl of food; well
丿				もとる,の	ヘツ,ヘチ,ヨウ,エイ	line; Kangxi radical 4
乀				まがる	フツ,ブチ,レツ,レチ	stretch
乁				ながれる	イ	
乂				かる,おさめる,おさまる	ガイ,ゲ	govern, control, manage; nurture
乄				しめ,して		SHIME: to find a place to dwell; sum; a measurement of paper; SHITE to do; (not to be confused with U3024 HANGZHOU NUMERAL FIVE)
乑				ならびたつ	ギン,ゴン,ハン,シュウ	stand side by side
㐆						(corrupted form) to follow, to trust to; to put confidence in; to depend on, to turn around; to turn the body, (interchangeable 隱)
乕				とら	コ	tiger; brave, fierce; surname
乗				のる,のせる	ジョウ,ショウ	ride, ascend; avail oneself of; numerary adjunct for vehicles
乣					キュウ	
乨				はじめる,はじまる	シ	the beginning; to start, to begin, to be the first
乴				ひねる	セツ,ゼチ	
乵				すすむ	エン	to enter; to make progress to advance; to urge forward
乹				かわく,かわかす	カン,ケン	(Cant.) to clean; dried up
亅				かぎ,はねぼう	ケツ,カチ	hook; Kangxi radical 6
亍				たたずむ,ほす,ひる	チョク,チク,チュ,カン	to take small steps; Korean place name
亖				よ,よつ,よっつ,よん	シ	four
㐬					リュウ,ル,コウ,トツ	(same as 旒; corrupted form of 荒) a cup with pendants, a pennant, wild, barren, uncultivated
亯				とおる	キョウ,コウ	to receive; to enjoy
亰				みやこ	ケイ,キョウ,キン,ゲン	capital city
亶				あつい,まこと,ほしいまま	タン,セン,ゼン,テン	sincere; real, true; truth
亹				つとめる,うつくしい	ビ,ミ,ボン,モン	progress; busy, untiring; exert
仈					ハツ,ハチ	
仏				ほとけ	ブツ,フツ,ホツ,ヒツ,ボツ	Buddha
仐				かさ	サン	(non-standard Japanese variant of 傘) umbrella, parasol, parachute
仚				とぶ	ケン	to fly
仛				おとめ,よる	タ,タク,ダク	young girl; strange, different
仠				そこなう	カン,ガン	
仢				まるきばし	ハク,バク,シャク,ジャク,テキ	
仭				はかる,ひろ	ジン,ニン	ancient unit of measure (8 feet); 'fathom'
仮				かり,かりる,かりに	カ,ケ,カク,ハン	falsehood, deception; vacation
仯				さいさま	ソウ,ショウ,ビョウ,ミョウ	
仱				ほこる,つつしむ	ケン,ゲン,キョウ,キン,ゴン	
伀				おおやけ,おそれる	ショウ,シュ	excited
伂					ハイ	
伈				おそれる	シン	nervous, fearful
伋				きびしい	キュウ,ハ,ゴウ	deceptive
伌				くるしむ	アイ,ア	
伒				たすける	キン,コン	
伕				むすめむこ	フ	common laborer
伖					ド,トウ	
伜				せがれ	サイ,ソツ	deputy, vice-
伝				つたえる,つたえ,つたわる,つたう,つて	デン,テン	summon; propagate, transmit
伮				つとめる	ド	to make a great effort
伳				おごる	セツ,セチ	
伵				さびしい,よ,よつ,よっつ,よん	キョク,ケキ,キ,シ	
伹				つたない,ただし	ショ,タン	dull, slow, unskillful
伻				つかう	ホウ,ヒョウ	messenger, emissary; send emissary
伾				おおいさま	ヒ,ビ,ハイ,ヘ	mighty
佀				ひる,にる	シ,ジ	resemble
佂				おそれあわてる	ヤイ,ショウ,セイ	
佈				あまねし	ホ,フ	spread, publicize, announce
佉					キョ,コ,キャ,カ	surname; name of a divine being; transliteration of Sanskrit 'kh'
佋				たすける	ショウ,ジョウ	continue, carry on; hand down; to join
佌				ちいさい	シ	small
佒				あおぐ,あおむけ,たのしむ	アウ,ヨウ,オウ	
佔				みる,うかがう,しめる	チン,セン,テン	occupy by force, usurp; possess
佖				ただしい,ならぶ	ヒツ,ビチ	
佪				さまよう,くらいこよ	クワイ,エ,カイ	hesitate
佮				あわせる	コウ	(Cant.) intensive particle
佱				のり	ホウ	
佷				もとる	コウ,ゴウ,ギン,コン,ゴン	to act contrary to
佸				あう,あつまる,つとめるさま,いたる	カツ,ガチ	meet
佹				かさなる,よる,もとる,ささえる	キ	depend upon; support; go against; (variant deceive)
佺					セン	fairy
佽				すぼしこい,ならぶ,たすける,および,かはるがはる,とし	シ	aid; help
侊				さかん	コウ	big
侌				かげ,かげる	イン	
侐				しずか,さびしい	キョク,ケキ,キ	quiet
侒				やすらか	アン	
侓				きいさま	ロツ,ロチ,リツ	
侘				ほこる,わびる,わびしい,わび	タ	disappointed, forlorn
侙				おそれる	チョク,チキ	
侞				ひとしい,したがへならす	ジョ,ニョ	
侟					セン	
価				あたい	カ	price, value
侫				おもねる,よこしま	ネイ,デイ,ニョウ	flattery; glib
侭				ことごとく,まま	ジン,シン	complete, utmost
侮						despise; contempt
侲				わらべ,よいわらべ,うまかい,はしため	シン	
侷				たけがひくい,せまる	キョク,ゴク	narrow, cramped, confined
侹				おとこぎ,なおい,つつしむ,かわる	テイ,ジョウ,チョウ	straight
侻				かなふ,よい,てがる,たやすい,かるい	タツ,タチ,タイ,テ	to run away, escape
侼				つよい,うらむ	ホツ,ボチ	
侽				おとこ	ダン,ナン	
侾				おおきい	コウ,キョウ	
俀				よわい	タイ,テ	
俆				ゆるやか,おそい	ショ,ジョ	
俉				むかえる,あう	ゴ	
俋				たがやす	チュウ,ジュウ,ユウ	
俌				たすけ	フ	
俍				さまよう	リョウ,ロウ	
俒				まつたし,けがす	コン,ゴン,カン	
俔				うかがう	ケン,ゲン	like
俛				ふせる	ベン,メン,フ	make effort, endeavor; to lower the head
俢				おさめる,おさまる	シュウ	
俤				おもかげ		(same as 面影 in Japanese), visage, face; trace, shadow; memory
俥				くるま		rickshaw, cart, vehicle; name of piece in Chinese chess
俰				やわらぐ	カ,ワ	
俲				ならう	コウ	(same as 傚) imitate, mimic
俵				たわら	ヒョウ	divide, distribute
俶				よい,はじめ	シュク,テキ	start, begin; beginning; arrange
俼				かゆ,ひさぐ	イク,キク,シュク	
俽				よろこぶ	キン,コン	
俿				かたたがい	チ,ジ	
倁				ゆく	チ,ジ	
倂				あわせる,ならぶ,しかし	ヘイ	combine
倄				もとる,そこなう	コウ,ギョウ,カイ,エ	
倅				せがれ	サイ,ソツ,セ,ソチ	deputy, vice-
倇				たのしむ,よろこぶ,すすめる	エン,オン	
倊				くるしむ	ソウ,ス	
倎				あつい	テン	
倓				やすい,しずか	タン,ダン	
倗				たすける,ゆだねる,よせる	ホウ,ボウ	
倛				あざむく	キ	
倝				かがやく	カン	sunrise; dawn
倞				つよい,あきらか,とおい,もとめる,きそふ	ケイ,キョウ,リョウ,オウ,ギョウ	far
倢				さとい,すこやか,はやい,つぐそしる	ショウ	beautiful, handsome; woman
倧					ソウ,ス	
倰				おかす,あぎむく,ながい	リョウ,ロウ	
