japaneseChar	simpChineseChar	tradChineseChar	pinyin	kunyomi	onyomi	englishMeaning
丼				どんぶり,どん	セイ,タン,ショウ,トン	bowl of food; well
仏				ほとけ	ブツ,フツ,ホツ,ヒツ,ボツ	Buddha
仮				かり,かりる,かりに	カ,ケ,カク,ハン	falsehood, deception; vacation
伝				つたえる,つたえ,つたわる,つたう,つて	デン,テン	summon; propagate, transmit
価				あたい	カ	price, value
侭				ことごとく,まま	ジン,シン	complete, utmost
俵				たわら	ヒョウ	divide, distribute
倅				せがれ	サイ,ソツ,セ,ソチ	deputy, vice-
倶				ともに	ク,グ	all
偲				しのぶ,しのび	シ,サイ	talented; urgent
働				はたらく,はたらき	ドウ	labor; work
円				まるい,まる,まどか	エン	yen
冨				とむ	フ,フウ	abundant, ample; rich, wealthy
冴				こおる,ひえる,さえる,さえ	ゴ,コ	freezing; stopped up, closed off
処				おる,ところ	ショ	place, locale; department
凧				たこ		kite
凪				なぐ,なぎ		calm, lull
匁				もんめ		Japanese unit of weight (1/1000 of a kan)
匂				におう,におい		fragrance, smell
叺				かます	セキ	a straw bag; a tobacco pouch
喰				くう,くい,くらう	サン,ソン	to eat, drink
嘸				さぞ	ブ,フ,ム	unclear; an expletive; not
噂				うわさ	ソン	meet
噛				かじる,かみ,かむ	ゴウ,ギョウ	bite, gnaw
噺				はなし		story, talk
囃				はやし,はやす	ソウ	to play (on an instrument); to accompany; to banter, jeer
囮				おとり	カ,ユウ,ガ,ウ	inveigle, decoy; cheat
囲				かこむ,かこい,かこう,むち,かこみ	イ,トウ	surround, encircle, corral; whip
埓				かこい	ラチ,レツ	enclosure, dike, embankment
堺				さかい	カイ	person's name
塀				かき	ヘイ	wall, fence
塙				かたい,はなわ,ばん	カク,コウ,キョウ	truly
壱				ひとつ	イチ,イツ,イン	number one
壷				つぼ	コ	jar, pot, jug, vase; surname
姪				めい,おい	テツ,チツ,デチ,ジチ	brother's child
嬢				むすめ	ジョウ,ドウ	troubled, oppressed; fat; mother
宍				しし	ニク	flesh; meat; Kangxi radical 130
尭				たかい	ギョウ	a legendary ancient emperor-sage
峠				とうげ		mountain pass; crisis, climax
崚					リョウ	hilly, steep, rugged
嶋				しま	トウ	island
嶌				しま	トウ	island
嶽				たけ	ガク	mountain peak, summit
巌				けわしい,いわお,いわ,けわし	ガン,ゲン	cliff, precipice; cave, grotto
巻				まく,まき	カン,ケン	scroll; curl; make a comeback
