瞹	曖
碍	礙
豻	犴
唵	揞
翺	翱
奥	奧
嶴	岙
媼	媪
㭭	䰾
擺	襬
蜯	蚌
幇	幫
帮	幫
虣	暴
寚	寶
寳	寶
宝	寶
緥	褓
勹	包
襃	褒
軰	輩
盃	杯
犇	奔
綳	繃
痺	痹
閇	閉
笔	筆
偪	逼
変	變
徧	遍
昪	忭
辨	辯
辺	邊
錶	表
猋	飆
鏢	鑣
飇	飆
龞	鱉
臏	髕
髩	鬢
梹	檳
濵	濱
併	並
并	並
幷	並
棅	柄
禀	稟
餠	餅
冫	冰
氷	冰
愽	博
剥	剝
鉢	缽
纔	才
采	採
跴	踩
慙	慚
残	殘
蚕	蠶
惨	慘
参	參
叅	參
湌	餐
飡	餐
册	冊
厠	廁
臿	鍤
犲	豺
禅	禪
蝉	蟬
産	產
甞	嘗
膓	腸
厰	廠
厂	廠
撦	扯
訦	諶
儭	襯
趂	趁
偁	稱
撑	撐
称	稱
箎	篪
遅	遲
勅	敕
勑	敕
耻	恥
歯	齒
喫	吃
癡	痴
虫	蟲
冲	衝
沖	衝
讐	仇
俦	儔
畴	疇
筹	籌
踌	躊
酧	酬
丑	醜
厨	廚
橱	櫥
蹰	躕
鶵	雛
触	觸
床	牀
刱	創
牕	窗
窓	窗
窻	窗
龡	吹
脣	唇
湻	淳
蒓	蓴
辶	辵
甆	磁
糍	餈
辤	詞
辞	辭
朿	莿
樷	叢
从	從
怱	匆
悤	匆
聦	聰
蔥	葱
凑	湊
觕	粗
簒	篡
脃	脆
达	達
撘	搭
帒	袋
帯	帶
瑇	玳
獃	呆
啗	啖
噉	啖
惮	憚
胆	膽
担	擔
箪	簞
耼	聃
档	檔
蘯	蕩
党	黨
攩	擋
当	當
盗	盜
擣	搗
祷	禱
刂	刀
悳	德
櫈	凳
灯	燈
豋	登
廸	迪
逓	遞
厎	砥
牴	觝
仾	低
淀	澱
点	點
巓	巔
瘨	癲
顚	顛
弔	吊
彫	雕
畳	疊
叠	疊
鼕	冬
崠	崬
斗	鬥
匵	櫝
独	獨
読	讀
妬	妒
断	斷
煅	鍛
兌	兑
対	對
譈	懟
炖	燉
吨	噸
惇	敦
堕	墮
跥	跺
垜	垛
朶	朵
䒳	哚
躱	躲
峩	峨
鵞	鵝
戹	厄
垩	堊
悪	惡
搤	扼
腭	齶
鰐	鱷
児	兒
儿	兒
弍	二
尒	爾
迩	邇
栰	筏
罸	罰
発	發
凢	凡
棥	樊
汎	泛
范	範
旛	幡
飜	翻
倣	仿
廃	廢
棐	榧
丰	豐
凮	風
峰	峯
复	復
阝	阜
捬	撫
盙	簠
鬴	釜
尃	敷
旉	敷
肤	膚
麸	麩
匃	丐
乢	戤
摡	溉
槩	概
槪	概
盖	蓋
侅	賅
干	幹
尲	尷
杠	槓
堈	罁
槀	稿
稾	稿
皋	臯
餻	糕
个	個
謌	歌
亘	亙
挭	鯁
畊	耕
絚	緪
巩	鞏
厷	肱
躳	躬
彀	夠
构	構
訽	詬
沟	溝
鉤	鈎
鞲	韝
雇	僱
皷	鼓
鼔	鼓
挂	掛
恠	怪
掴	摑
舘	館
关	關
観	觀
广	廣
柜	櫃
桧	檜
亀	龜
珪	圭
嬀	媯
国	國
馘	聝
椁	槨
凾	函
琀	焓
扞	捍
釬	焊
銲	焊
嘷	嗥
嘷	嚎
蚝	蠔
号	號
秏	耗
咊	和
覈	核
盍	盇
寉	鶴
恒	恆
横	橫
鵆	鴴
鬨	閧
渹	訇
糇	餱
后	後
衚	胡
鬍	胡
怘	護
戸	户
沍	滬
沪	滬
划	劃
画	畫
嘩	譁
芲	花
蘤	花
壊	壞
坏	壞
澣	浣
懽	歡
貛	獾
堭	隍
黄	黃
怳	恍
謊	詤
囘	回
廻	回
蛕	蚘
会	會
彙	匯
滙	匯
芔	卉
薉	穢
幑	翬
煇	輝
昬	昏
檴	獲
伙	夥
亼	集
卽	即
极	極
檝	楫
耤	藉
曁	暨
継	繼
迹	跡
几	幾
喞	唧
姫	姬
朞	稘
机	機
覉	羇
賷	齎
隮	躋
鷄	雞
頬	頰
价	價
傢	家
徤	健
劒	劍
荐	薦
践	踐
鑒	鑑
䬻	毽
减	減
堿	鹼
鹻	鹼
碱	鹼
謭	譾
姦	奸
牋	箋
夅	糨
彊	犟
奨	獎
奬	獎
蒋	蔣
将	將
畺	疆
韁	繮
窖	窌
皦	皎
脚	腳
脚	腳
胶	膠
杰	傑
刧	劫
刼	劫
䀹	睫
届	屆
觧	解
堦	階
掲	揭
晋	晉
烬	燼
贐	賮
儘	盡
卺	巹
厪	廑
菫	堇
尽	盡
金	釒
凈	淨
径	徑
誩	競
静	靜
頚	頸
惊	驚
稉	秔
経	經
茎	莖
猄	鶄
烱	炯
厩	廄
廐	廄
旧	舊
揫	揪
䰗	鬮
寠	窶
惧	懼
据	據
擧	舉
匊	掬
諊	鞫
獧	狷
隽	雋
捲	卷
鐫	鎸
决	決
絶	絕
絶	絕
覐	覺
濬	浚
开	開
墈	磡
忼	慷
穅	糠
攷	考
壳	殼
