碍	礙
奥	奧
抜	拔
覇	霸
拝	拜
阪	坂
幇	幫
宝	寶
綳	繃
偪	逼
変	變
辨	辯
辺	邊
彬	斌
併	並
氷	冰
剥	剝
鉢	缽
歩	步
采	採
残	殘
蚕	蠶
惨	慘
参	參
飡	餐
厠	廁
挿	插
禅	禪
蝉	蟬
産	產
巣	巢
徹	澈
儭	襯
乗	乘
称	稱
遅	遲
勅	敕
歯	齒
喫	吃
虫	蟲
沖	衝
畴	疇
筹	籌
紬	綢
丑	醜
厨	廚
触	觸
齣	出
床	牀
窓	窗
磁	瓷
辞	辭
従	從
聡	聰
粋	粹
脃	脆
膵	脺
帯	帶
弾	彈
惮	憚
胆	膽
単	單
担	擔
档	檔
党	黨
当	當
盗	盜
稲	稻
𢭏	搗
祷	禱
徳	德
灯	燈
蔕	蒂
逓	遞
淀	澱
点	點
瘨	癲
顚	顛
弔	吊
彫	雕
畳	疊
斗	鬥
独	獨
読	讀
妬	妒
断	斷
兌	兑
対	對
吨	噸
惇	敦
堕	墮
朶	朵
躱	躲
鵞	鵝
悪	惡
鰐	鱷
児	兒
発	發
汎	泛
旛	幡
倣	仿
廃	廢
丰	豐
峰	峯
複	復
摡	溉
干	幹
尲	尷
杠	槓
箇	個
亘	亙
巩	鞏
彀	夠
鉤	鈎
雇	僱
穀	谷
舘	館
関	關
観	觀
桧	檜
亀	龜
帰	歸
国	國
菓	果
扞	捍
号	號
黒	黑
恒	恆
横	橫
后	後
冱	滬
戸	户
划	劃
画	畫
嘩	譁
嘩	譁
懐	懷
壊	壞
坏	壞
鐶	鍰
歓	歡
黄	黃
廻	回
会	會
彙	匯
恵	惠
絵	繪
穫	獲
伙	夥
耤	藉
剤	劑
済	濟
継	繼
撃	擊
姫	姬
机	機
鶏	雞
价	價
剣	劍
践	踐
倹	儉
堿	鹼
検	檢
奨	獎
蒋	蔣
将	將
畺	疆
脚	腳
届	屆
掲	揭
晋	晉
尽	盡
衿	襟
凈	淨
径	徑
静	靜
経	經
茎	莖
厩	廄
旧	舊
玖	九
韮	韭
惧	懼
据	據
挙	舉
捲	卷
絶	絕
覚	覺
忼	慷
壳	殼
渇	渴
齦	啃
宼	寇
袴	褲
寛	寬
鉱	礦
媿	愧
餽	饋
拡	擴
腊	臘
来	來
頼	賴
擥	攬
覧	覽
労	勞
楽	樂
涙	淚
塁	壘
厘	釐
励	勵
歴	歷
歴	厲
栗	慄
隷	隸
礼	禮
裡	裏
里	裏
怜	憐
鎌	鐮
恋	戀
両	兩
猟	獵
燐	磷
隣	鄰
凛	凜
霊	靈
齢	齡
瑠	琉
楼	樓
